eps,min_sample,n_cluster,silhouette
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.56,4.0,1.0,0.09794595426759213
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5700000000000001,3.0,1.0,0.12279283148835228
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.5800000000000001,3.0,1.0,0.13243315884805976
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.59,3.0,1.0,0.14177853091905418
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
0.6,3.0,1.0,0.15752990221120639
